label-coarse,text
OTHERS,What golfing accessory was patented by George Grant on December 12
0,What is a drought ?
0,What is Shalom ?
5,Where is Mile High Stadium ?
OTHERS,A normal human pregnancy lasts how many months ?
OTHERS,What kind of flowers does detective Nero Wolfe raise ?
OTHERS,What sport do the Cleaveland Cavaliers play ?
3,Who is Prince Naseem Hamed ?
2,What does LOL mean ?
2,What does the acronym CPR mean ?
OTHERS,How many acres in a mile ?
OTHERS,How far can you see ?
OTHERS,What did the Congress of Vienna establish ?
0,What is The Gay Science ?
5,What is the address of the famous Mexican star `` Thalia '' ?
0,What 's an auberge in France ?
0,What is mandibulofacial dysostosis ?
5,Where did Ty Cobb grow up ?
5,What country has problems with hooligans ?
5,What city is . KDGE Radio located in ?
0,What is the difference between optical and digital video ?
0,What is the cause of endangered species ?
OTHERS,How many equal angles are there in an isosceles triangle ?
0,What is an example of an actual case of using the Fourteenth Amendment ?
5,Where is Procter & Gamble headquartered in the U.S. ?
5,What country is the origin of the band the Creeps ?
3,Who was Sherlock Holmes 's archenemy ?
3,What has been the most common Christian name of U.S. presidents ?
3,What Green Bay Packers coach philosophized : `` There 's nothing that stokes the fire like hate '' ?
3,"Whom does Uncle Duke 's girl friend , Honey , room with ?"
OTHERS,What 's the name of the Tampa newspaper ?
0,Why is Indiglo called Indiglo ?
5,Where is the location of the Orange Bowl ?
3,What dummy received an honorary degree from Northwestern University ?
OTHERS,How many states did Richard Nixon carry in 1972 ?
3,Who domesticated the wild turkey ?
OTHERS,What 's the dumbest domesticated animal ?
0,What is the recommended daily requirement for folic acid for pregnant women ?
0,How do you become a dentist ?
3,Who is the son-in-law of Sen. Everett Dirkson who was also a senator in the '70 's ?
3,Who is the president of the Spanish government ?
3,What Russian master spy lived in the U.S. under the name Emil Goldfus ?
2,What is RCD ?
OTHERS,When did beethoven die ?
0,"What according to the Kinsey Institute , is the sexual preference of four percent of American males ?"
3,Who is King in Alley Oop 's home of Moo ?
0,Where did Indian Pudding come from ?
0,What is `` snoogans '' ?
0,What are amicable numbers ?
3,Who was the oldest U.S. president ?
0,Why are lions called `` King of the Jungle '' ?
5,Where can I find free piano scores for popular music ?
OTHERS,Who were John F. Kennedy 's dogs ?
5,What country did the Nile River originate in ?
OTHERS,What kind of creature is a coot ?
0,What does the Georgetown `` Hoya '' mean ?
0,What is Sinn Fein ?
0,What is the origin of the atom ?
5,What is the highest waterfall in the United States ?
OTHERS,What colors make up a rainbow ?
OTHERS,What breed of dog was the `` Little Rascals '' dog ?
OTHERS,How do you say `` fresh '' in Spanish ?
OTHERS,How many referees work a soccer game ?
3,Who was Picasso ?
5,What city does McCarren Airport serve ?
3,Which former Ku Klux Klan member won an elected office in the U.S. ?
5,What was the highest mountain on earth before Mount Everest was discovered ?
3,"What woman has carried the most multiple births , twins , triplets , etc. , ?"
OTHERS,What is one of the languages of the Sioux ?
3,Who 's played the most games for the New York Yankees ?
5,What country and western singer is known as The Silver Fox ?
3,Who produces Spumante ?
3,What was her real name ?
0,What is the difference between college and graduate school ?
OTHERS,What was the name of the flight that Fawaz Younis hijacked ?
3,Who made the first surfboard ?
OTHERS,What is the probability that at least 2 out of 25 people will have the same birthday ?
OTHERS,What brand of white rum is still made in Cuba ?
OTHERS,For what disease is the drug Sinemet used as a treatment ?
5,What erupts every hour at Yellowstone National Park ?
0,What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?
OTHERS,Ray Charles plays which instrument ?
5,What country was the setting of You Only Live Twice ?
OTHERS,"What drink is made up of rum , coconut milk and pineapple ?"
0,What function does homeostasis have on the existence of an organism ?
3,Who are cartoondom 's Super Six ?
5,Where did Victor Hugo spend his exile ?
5,What is the name of the highest mountain in Africa ?
OTHERS,What fowl grabs the spotlight after the Chinese Year of the Monkey ?
5,What 's the second-largest island in the world ?
OTHERS,What is the protection rate of using condoms ?
3,Who is Stephen Hawking ?
0,How did Bob Marley die ?
OTHERS,What do sailors use to measure time ?
2,What does CPR stand for ?
OTHERS,What does a polyorchid man have at least three of ?
0,What does seccession mean ?
OTHERS,Name a product that controls the ripening of apples .
OTHERS,How much did the minimum wage amount to in 1991 ?
OTHERS,How big is a baby bald eagle ?
5,Where are the headquarters of Eli Lilly ?
OTHERS,When was Ozzy Osbourne born ?
OTHERS,What is the current ticket fare from from Cairo to Barbados ?
0,How does the tail affect the flight of a kite ?
5,What are some good fractal web sites ?
3,Which Bourbon king was restored to the French throne during Napoleon 's abdication ?
OTHERS,What Russian novel embracing more the 5 characters is set in the Napoleonic Wars ?
OTHERS,How many questions do you have on your database ?
OTHERS,How many bones are in the human hand ?
OTHERS,"What drink is formed of tequila , orange juice and galliano ?"
0,What does the name `` Justin '' mean ?
0,What does the word `` opera '' mean ?
5,Where can I find lyrics for R&B ?
OTHERS,What is the average age a horse lives ?
OTHERS,How much of the earth 's surface is permanently frozen ?
OTHERS,What is a fear of sinning ?
OTHERS,How many Jews were executed in concentration camps during WWII ?
3,Who is the leading competitor of Trans Union Company ?
5,What is George Lucas 's e-mail address ?
0,What is `` Vocal Sampling '' ?
OTHERS,How many characters makes up a word for typing test purposes ?
OTHERS,What were the five opening words on Ben Casey ?
5,What country offered Albert Einstein its presidency in 1952 ?
5,What do most tourists visit in Reims ?
OTHERS,What is a fear of women ?
3,What famous comic strip character died of acne ?
0,What does camera-ready art mean ?
2,What does the word LASER mean ?
OTHERS,Shea and Gould had an office in Los Angeles for how long before closing it ?
0,Hazmat stands for what ?
3,What girl 's name is `` Teddy '' an affectionate form of ?
3,Who invented the game Scrabble ?
5,What two cities usually mark the extremes of English Channel swims ?
0,What is the poetic meter of blank verse ?
OTHERS,When was Calypso music invented ?
0,"What is the history of Spartacus , the Roman slave and gladiator ?"
3,Who did Dita Beard work for ?
0,How you can raise your IQ ?
3,What New York Yankee was known as The Iron Horse ?
OTHERS,What is a fear of strong light ?
OTHERS,What year did the Vietnam War end ?
OTHERS,When did Rococo painting and architecture flourish ?
5,What country is located at 13 degrees North latitude and 10 degrees East longitude ?
0,What is a glory hole ?
OTHERS,How hot should the oven be when baking Peachy Oat Muffins ?
3,What is the most common name ?
5,What city was Martin Luther King Jr. assassinated in ?
0,What is proposition 98 about ?
0,What is Win Rah ?
OTHERS,What color beans did the ancient Romans refuse to eat ?
OTHERS,What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?
OTHERS,How much of the nation 's children between the ages of two and eleven watch ` The Simpsons ' ?
OTHERS,When was the G7 group of nations formed ?
0,What is the difference between Neoclassical art and Romanticism art ?
OTHERS,What has to be produced in a writ of habeas corpus ?
3,What singer sings `` Oh Boy '' ?
3,What occupation has the highest divorce rate ?
0,How does a copier work ?
OTHERS,What four forms does gold occur in ?
3,What was the player 's name who played nose tackle for the Eagles in Super Bowl XV ?
0,How did Asia get its name ?
0,What is the origin of the name Igor ?
OTHERS,What film ends with the line : `` This is Mrs. Norman Maine '' ?
OTHERS,What film was based on the play Everybody Comes to Rick 's ?
0,How do wasps make their nests ?
5,Where are the leading medical groups specializing in lung diseases ?
0,Why can 't women serve in the Navy on board submarines ?
5,What is Stefan Edberg 's native country ?
0,How do I start a web based business ?
OTHERS,What are the different types of plastic ?
OTHERS,"What blew up at Lakehurst , New Jersey , on May 6 , 1977 ?"
OTHERS,What color are a cherry tree 's flowers ?
0,What is `` the computer for the rest of us '' ?
OTHERS,What is the only gland in humans that can regenerate itself ?
0,What is fiber in food ?
3,What barroom judge called himself The Law West of the Pecos ?
0,What does Choo Choo Charlie say ?
5,What country will hit the year 2 first ?
0,How do you get a broken cork out of a bottle ?
OTHERS,What 's the official animal of Canada ?
OTHERS,What 's the only mammal that can 't jump ?
0,What is the origin of the word `` sideburns '' ?
0,What is the difference between a classical and an acoustic guitar ?
0,What was unusual about Alexandra 's appearance in Josie and the Pussycats ?
3,What 2th-century American poet wrote a four-volume biography of Abraham Lincoln ?
OTHERS,What Ernest Hemingway novel had the working title Fiesta ?
0,Where did the name root beer come from ?
0,What is the purpose of a car bra ?
0,What is the origin of the city `` Corpus Christi '' ?
OTHERS,How many types of dogs ' tails are there - three
3,What Japanese manufacturer is known for both its pianos and its motorcycles ?
OTHERS,"What were Baffin , Frobisher and Franklin looking for ?"
5,What Asian country has a bill of rights for cows ?
3,What was football star Elroy Hirsch 's nickname ?
OTHERS,What 's the world 's most common compound ?
0,What are shooting stars ?
0,Why do they sterilize the needle for lethal injection ?
3,What was the name of the director of the movie `` Jaws '' ?
0,How do they find an epicenter ?
OTHERS,How many objects orbit the Earth ?
OTHERS,How long does it take light to reach the Earth from the Sun ?
5,What are the top 5 tallest buildings in the world ?
OTHERS,What animal has the best hearing ?
OTHERS,What holidays or observances are celebrated in Italy ?
5,Name a country that is developing a magnetic levitation railway system ?
3,What character did Tex Avery first create upon arriving at MGM ?
0,Why did the Anglican church split from the Vatican ?
OTHERS,When are sheep shorn ?
OTHERS,What did the forward-thinking Simon Brothers Bakery of Chicago insert into bagels to boost business ?
OTHERS,What African animals are known as The Big Five ?
OTHERS,What species is a colt ?
0,How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?
OTHERS,"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?"
OTHERS,How long was the longest hiccup attack ?
OTHERS,How many rows of sprocket holes does a roll of 35-millimeter film have ?
OTHERS,What was Hitler 's favorite movie ?
0,What is the difference between love and infatuation ?
5,Which city did Christian Crusaders fight to recapture from the Muslims ?
OTHERS,How many calories are there in a Big Mac ?
0,How can I enforce new rules to a group of youngsters who have been allowed to do as they please .
OTHERS,What year was the first automobile manufactured ?
3,Who portrayed Carl Bernstein in All the President 's Men ?
3,Who invented the lawnmower ?
5,Where do people mountain climb in Nepal ?
5,Where 's Montenegro ?
3,What tennis player has the nickname `` Nasty '' ?
OTHERS,When did Gothic art and architecture flourish ?
0,Describe the Long March .
OTHERS,What does a deltiologist collect ?
OTHERS,"In Kafka 's Metamorphosis , the hero awakes one morning to find himself turned into what ?"
OTHERS,What soft drink is most heavily caffeinated ?
0,What were the first words spoken on a film sound track ?
OTHERS,What 's the Hungarian word for pepper ?
0,What is the Lost Colony ?
OTHERS,How many John Deere tractors have been manufactured ?
OTHERS,What 's the name of the tiger that advertises for Frosted Flakes cereal ?
OTHERS,What is a fear of cholera ?
OTHERS,How long does it take for your body to restore blood after you donate your blood ?
OTHERS,What powdered soft drink mix went into space ?
0,What is a pyrotechnic display ?
3,Who was the most famous food editor of The New York Times ?
5,Where can I learn about Samuel Gompers ?
OTHERS,How many types of lemurs are there ?
3,Who made the first gas engine ?
OTHERS,What money was used by them ?
3,What was the role of the Medieval Guild ?
OTHERS,How fast must a spacecraft travel to escape Earth 's gravity ?
OTHERS,To what does Microsoft 's Windows 3 owe its success ?
5,Where is Inoco based ?
OTHERS,What year was the setting for American Graffiti ?
3,Who invented the electric guitar ?
3,What well-known TV talk show host was a lay preacher by the time he was seventeen ?
OTHERS,How far is London UK from California ?
OTHERS,Name the operating system that runs on IBM-compatible machines .
OTHERS,What is the airport code for Los Angeles International ?
3,What is Alice Cooper 's real name ?
5,What is the highest peak in Africa ?
3,Who was Jane Goodall ?
OTHERS,How many disks does each player have in a four-handed game of Crokinole ?
3,Who is Nicolo Paganini ?
3,What detective lives on Punchbowl Hill and has 11 children ?
OTHERS,How tall was the animated Frankenstein
3,Which company claimed to be `` the world 's biggest toy store '' ?
OTHERS,What is Judy Garland 's date of birth ?
3,What son of a 15-year-old Mexican girl and a half-Irish father became the world 's most famous Greek ?
5,What country has been called The Queen of the Antilles ?
OTHERS,When did the art of quilting begin ?
0,How do you match a name to a social security number ?
5,Where can I find an Ask An Expert site ?
3,Who kept the most famous diary in the English language ?
5,Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?
3,What U.S. vice-president said : `` Some newspapers dispose of their garbage by printing it '' ?
0,What is the definition of spamming ?
3,"What member of The Little Rascals has an on-again , off-again sweetheart in Darla Hood ?"
OTHERS,How many presidents have died on the 4th of July ?
3,What baseball player was walked the most times ?
2,What 's the abbreviation for trinitrotoluene ?
3,What was the nickname of model Leslie Hornby ?
OTHERS,About how many soldiers died in World War II ?
3,What major Victorian novelist spent as much time working for the post office as he did writing ?
OTHERS,What song served as the closing theme of The Johnny Cash Show ?
0,Define cosmology .
3,Who sang about Desmond and Molly Jones ?
OTHERS,When is the Jimmy Buffett concert coming to the E center in Camden NJ ?
0,What is `` Chicago Hope '' ?
0,What is D.B. Cooper known for ?
3,What businesses in Alaska were affected by the Exxon Valdez oil spill ?
5,What countries have the most auto thefts ?
OTHERS,What can one see in Reims ?
0,What is the origin of the rock band Led Zeppelin 's name ?
3,Who is the Incredible Hulk in reality ?
3,What actor has a tattoo on his right wrist reading Scotland Forever ?
0,How close a cousin was Franklin D. to Theodore Roosevelt ?
5,What building are British monarchs crowned in ?
OTHERS,What movie did Madilyn Kahn star in with Gene Wilder ?
3,What bestselling modern poet was the co-founder of the famous City Lights Bookshop in San Francisco ?
3,Who were the 1974 Oscar winners ?
0,What is the Milky Way ?
OTHERS,What are close encounters of the first and second kind ?
3,What French leader sold Louisiana to the United States ?
3,What 's the most common name in nursery rhymes ?
3,Who is Rocky 's and Bullwinkle 's ever-lost friend ?
3,"What company started out making pies , and wound up manufacturing plastic throwing toys ?"
3,Who is the Voyager project manager ?
OTHERS,What are the diseases that can be cured by black cumin ?
3,What singer 's hit song inspired the Dolly Parton Stallone movie Rhinestone ?
OTHERS,What are some of Australia 's native flora ?
OTHERS,What after-dinner treat was invented in 1916 at the George Jung noodle factory in Los Angeles ?
OTHERS,What was the U.S. highway death toll in 1969 ?
0,What is the difference between microprocessors & microcontrollers ?
3,Who was the prophet of the Jewish people ?
OTHERS,How many visitors go to the Vatican each year ?
0,What is the origin of the word trigonometry ?
OTHERS,How many inches apart are adjacent pins in tenpin bowling ?
3,Who invented `` The Muppets '' ?
0,What is an aortic abdominal aneurysm ?
2,What does EKG stand for ?
OTHERS,How many were in attendance at the Last Supper ?
3,Who runs Andy Capp 's favorite pub ?
0,What effect does a prism have on light ?
3,What baseball team was routinely called `` dem bums '' by its frustrated fans ?
OTHERS,In what year did Hitler gain power of Germany ?
5,Where can I find the history of the Hungarian language ?
OTHERS,When was Berlin 's Brandenburg gate erected ?
0,What is thalassemia ?
3,What are the names of Jack 's original roommates on Three 's Company ?
3,Who painted the Sistine Chapel ?
OTHERS,When was the first stained glass window made ?
OTHERS,How old is the Italian artist Maurizio Pellegrin ?
0,Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?
OTHERS,What season is the setting for Shakespeare 's Midsummer Night 's Dream ?
3,Who won World War II ?
0,How can I get in touch with Michael Moore of `` Roger & Me '' ?
3,What is Pittsburgh 's baseball team called ?
5,What country boasts Ismail 's Palace and the Palace of King Farouk ?
3,What was Fred Astaire 's dancing partner 's name ?
OTHERS,How big is the largest diamond ?
OTHERS,What animal causes the biggest threat to humans ?
5,What country saw the origin of the Asian Flu ?
3,"What famous New York City mayor wrote the hit song , `` Will You Love Me in December as You Do in May ? ''"
OTHERS,How many verses are in the Bible ?
0,How do you do a bibliography page ?
OTHERS,What war did Florence Nightingale tend the troops in ?
OTHERS,On what day were John F and Jackie Kennedy married ?
OTHERS,What sign is The Water Carrier the zodiacal symbol for ?
3,What writer-journalist made his mark describing colorful Broadway and underworld characters ?
OTHERS,Which comic strip was never turned into a Broadway musical ?
3,What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?
OTHERS,How many children under 18 are victims of some sort of Physical Abuse each year ?
5,What state is Niagara Falls located in ?
OTHERS,How many pins are used in skittles ?
5,The Orange Bowl is located in what city ?
3,What actress starred in `` The Lion in Winter '' ?
3,What father and son won the Medal of Honor ?
0,What is a philanthropist ?
3,Who is Edmund Kemper ?
3,What National League baseball team employed 72 third baseemen in its first 2 seasons ?
5,Where was Christopher Columbus born ?
0,What are the Valdez Principles ?
5,"What two Japanese cities are spelled with the letters K , O , O , T and Y ?"
5,Where are 8 of the 10 highest mountains in the world ?
3,Who is Charles Lindbergh ?
3,Who has more DNA - a man or a woman ?
OTHERS,What is `` the taste that beats the others cold '' ?
0,How do I find a web address for a company ?
OTHERS,What seven digits follow the area code in the number for long distance information ?
5,What continent 's second-highest peak is Mont Blanc ?
2,What does CNN stand for ?
OTHERS,What kind of sports team is the Buffalo Sabres ?
0,Why are there Braille things on the ATM machines that people drive through ?
5,What country borders Denmark to the south ?
3,Who portrayed portly criminologist Carl Hyatt on Checkmate ?
3,"When Mighty Mouse was conceived , what was his original name ?"
3,What is the best distance education university or college ?
OTHERS,What is the connection between New Krypton and Daxam ?
5,Where is the group M People from ?
5,Where is Belize located ?
OTHERS,In what year was the Berlin Wall erected ?
OTHERS,What wheel did Blaise Pascal invent in a search for perpetual motion ?
OTHERS,What determines the value of the pearl ?
OTHERS,What is the name of the American literary era that includes 1896 ?
0,What does `` Janelle '' mean ?
5,What two countries in South America are landlocked ?
OTHERS,What whisky is `` known by the company it keeps '' ?
OTHERS,What is the lens behind the iris in the eye called ?
OTHERS,"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?"
OTHERS,How many times has Harold Stassen announced a drive for the White House ?
2,What does JESSICA mean ?
OTHERS,"What Robert Louis Stevenson novel was inspired by Deacon William Brodie , a cabinetmaker by day and burglar by night ?"
3,What is Steve Rogers 's profession when he 's not Captain America ?
3,Who are the two sons of Ozzie and Harriet Nelson ?
3,Who was the tallest U.S. president ?
3,What kind of people took part in Shays ' Rebellion in Massachusetts in 1787 ?
OTHERS,What was the killer whale who died at Sea World of a fungal infection named ?
3,What ethnic group introduced the idea of potlatch ?
OTHERS,In what year did the US Marine Corps adopt the motto `` Semper Fidelis '' ?
OTHERS,What 's the largest letter in Salvador Dali 's signature ?
OTHERS,"Which is a real berry : blackberry , cranberry , raspberry , strawberry ?"
OTHERS,What is the name of the kids ' show from Canadian Public TV with the singing pineapple ?
OTHERS,What novel has Big Brother watching ?
3,Name the cartoon genie conjured by the magic ring shared by Nancy and Chuck .
5,What is the principal river of Ireland ?
OTHERS,How tall is the giraffe ?
OTHERS,What was the name of the U.S. Navy gunboat in the film The Sand Pebbles ?
2,What does S.O.S. stand for ?
OTHERS,How many zip codes are there in the U.S. ?
3,"What was the name given the 6 , 500 German airforce troops that used the Spanish Civil War as a training exercise ?"
3,Who makes chicken `` finger lickin '' good ?
OTHERS,What do penguins eat ?
5,Where did Luther display his `` Ninety-Five Theses '' ?
OTHERS,Where is the human skin least sensitive ?
OTHERS,What is celebrated during the week of February 21-27 ?
OTHERS,What fraction of a beaver 's life is spent swimming ?
3,"What President hit the jogging paths to enhance his athletic image and , sporting No. 39 , almost collapsed during the road race ?"
OTHERS,What was the name of Betty Boop 's dog ?
OTHERS,What was the first domesticated bird ?
OTHERS,How many shots can a stock M16 hold ?
0,What is the Amish religion ?
OTHERS,What will the California gas tax be in the year 2000 ?
OTHERS,What are super balls made of ?
3,Who invented Make-up ?
OTHERS,What does a collier mine ?
0,What is endometriosis ?
OTHERS,What color are tennis balls ?
OTHERS,What 's the first day of the week ?
OTHERS,"What is the latitude and longitude of El Paso , Texas ?"
0,What is capitalism according to Max Weber ?
0,How can I find out which cities have cable-modem access ?
3,Who made the rotary engine automobile ?
OTHERS,What is the Jewish bible called ?
OTHERS,What common ailment can 't you catch at the North Pole ?
0,What happened to Moon Maiden ?
0,How were the days of the week named ?
OTHERS,How long is the border between Canada and the 48 conterminous states ?
OTHERS,What star-faring race brought about the Inhumans on Marvel 's Earth ?
0,Why does cotton get caught in belly buttons ?
0,How come light bulbs go out ?
OTHERS,What is the highest number of home runs on record for any one game ?
0,How can SQL queries be improved ?
3,Who is the one Independent Member of Congress ?
0,What 's a water funnel ?
OTHERS,When were the Olympic Games in which Nadia Comaneci became popular played ?
OTHERS,How long does it take for your blood to make one complete trip through the body ?
OTHERS,How many cities are there in Utah ?
OTHERS,What is a fear of being alone ?
2,What is the full name of the PLO ?
OTHERS,What do Italians call Florence ?
OTHERS,What phenomenon would you expect to read about in the monthly publication The Bigfoot News ?
0,How can I get some free technical information on Electric Vehicle ?
OTHERS,How old is Bernadette Peters ?
0,What is the origin of the word Ozymandias ?
5,What nationality is Gorbachev ?
0,What is cache memory ?
5,Where can I find the schematics to the windshield wiper mechanism ?
0,What is a urologist ?
5,What is the second highest mountain peak in the world ?
3,Who sings the song `` Drink to me with thine eyes '' by Ben Johnson ?
3,What 's the most common surname in America ?
3,Who created private detective Philip Marlowe ?
0,What is ethylene ?
OTHERS,How long does a dog sleep ?
OTHERS,What does saliva consist of ?
OTHERS,What does the policeman become in the Canadian edition of Monopoly ?
0,Why is Jane Goodall famous ?
3,Name the food company that traveled to Soviet Georgia to film a series of ads .
0,How was the element calcium named ?
OTHERS,What was the favorite sport of Tom Wolfe 's The Pump House Gang ?
OTHERS,How much does a poodle weigh ?
OTHERS,How many sperm cells are in an average ejaculation ?
3,What mayor made so many TV appearances he was asked to join AFTRA in 1984 ?
0,What happened to Answers.com ?
OTHERS,What is the rarest coin ?
3,What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?
3,Who portrayed George M. Cohan in 1942 's Yankee Doodle Dandy ?
OTHERS,What is a fear of worms ?
OTHERS,How many horses died during the civil war ?
0,What do you do when your mouse is n't working as fast as it 's supposed to ?
3,What longtime game show host dropped dead while jogging in Central Park in 1984 ?
OTHERS,Stuart Hamblen is considered to be the first singing cowboy of which medium ?
3,Which German president was pressured into appointing Hitler chancellor in 1933 ?
OTHERS,How long ago did the Anglican church part from the Vatican ?
OTHERS,What is the amount of money owed for illegally having a dog on a beach ?
OTHERS,What is the dialogue circle in cartoons called ?
0,What is the Bernoulli Principle ?
OTHERS,How many countries are there ?
OTHERS,What was Joe Namath 's first contract worth ?
OTHERS,What time does Wee Willie Winkie run through the town ?
OTHERS,What are the most common elements in seawater ?
OTHERS,What is widely used to detect prenatal birth defects ?
0,What does Elysium mean ?
OTHERS,What is Columbia Tristar 's phone number ?
OTHERS,What is the largest sculpture in the world ?
3,What presidential administration challenged Americans to explore The New Frontier ?
0,"What are Cobol , Fortran , and Pascal ?"
0,How do you make the color purple ?
5,What city in Florida is Sea World in ?
OTHERS,What is a fear of crystals or glass ?
OTHERS,What percentage of the silver production is done by independent silversmiths ?
OTHERS,What does 7847+5943 equal ?
OTHERS,What famous events have happened on March 27 ?
0,Why do oceans contain salt water instead of fresh water ?
OTHERS,What 's the population of Mississippi ?
3,Who played Emperor Palpatine in Star Wars ?
0,What does the name ` Alexandra ' mean ?
3,"Who wrote the sci-fi trilogy Foundation , Foundation and Empire , and Second Foundation ?"
0,What currents affect the area of the Shetland Islands and Orkney Islands in the North Sea ?
0,How is carbon dioxide removed from natural gas ?
5,Where does the U.S. get most of its energy ?
3,"Who is the richest person in the world , without owning a business ?"
OTHERS,How deep is a fathom ?
3,Who is buried in the great pyramid of Giza ?
3,What name did football 's New York Titans adopt in 1963 ?
OTHERS,What harmful chemicals are in bug spray ?
5,What are the three most populated countries in the world ?
0,Why do people shake hands to show friendliness ?
OTHERS,What song put James Taylor in the limelight ?
5,Where does the Santa Fe Trail begin and end ?
5,Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?
5,Where 's the 19th hole on a golf course ?
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
3,Who loved Flash Gordon besides Dale ?
OTHERS,When was Nostradamus born ?
0,What information can you get me on Fairground Park in St. Louis
0,What causes blue balls ?
5,Where is Melbourne ?
5,"What former royal palace has served as a granary , prison , arsenal , leper colony , mint , telegraph station and whorehouse before becoming an art museum ?"
5,"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?"
OTHERS,How many people die from snakebite poisoning in the U.S. per year ?
3,Which of the Seven Dwarfs comes first alphabetically ?
3,Who was the first Russian astronaut to walk in space ?
OTHERS,What Sinatra hit did he dooby dooby do in ?
OTHERS,How high is the city of Denver ?
OTHERS,Name the soft drink that is `` number one in the sun . ''
OTHERS,What century did art 's Romantic Period begin in ?
OTHERS,What animal occurs in Spielberg 's `` Jaws '' ?
OTHERS,What 1965 film had Jack Lemmon portraying a cartoonist ?
3,What political party is Sinn Fein a part of ?
0,What is an ecological niche ?
3,Who is the actress Bette Davis once said she wished she looked like ?
5,What is Bill Gates of Microsoft E-mail address ?
5,Where do lobsters like to live ?
0,What is the hair style called that new military recruits receive ?
3,What non-conformist abstract painter was dubbed Jack The Dripper by Time ?
3,What is the name of the deranged super-criminal Otto Octavius uses ?
0,How effective are condoms in protecting against AIDS ?
OTHERS,What was the first ready-to-eat breakfast cereal ?
OTHERS,Where does your hair grow the fastest ?
OTHERS,How long do flies live ?
OTHERS,What does a tarantula eat ?
OTHERS,What 's approaching when a cyclist shouts : `` Oil '' ?
3,Who was the first American world chess champion ?
5,Where did the name Daniel originate ?
OTHERS,How many member states are in the UN ?
5,What park contains Firehole River and Fairy Falls ?
0,How can your school march in the Macy 's Thanksgiving Parade ?
3,What president 's ghost is said to haunt the White House ?
OTHERS,What is the first book of the Old Testament ?
3,Who invented the road traffic cone ?
OTHERS,What do bicornate animals have two of ?
OTHERS,How many years did Shea & Gould practice law in Los Angeles ?
3,What classical Spanish writer warned : `` All that glitters is not gold '' ?
0,Colin Powell is most famous for what ?
OTHERS,How many calories are in a tomato ?
5,In what country is Lund ?
3,Who was the last woman executed in England ?
5,What are the ten safest American cities for pedestrians ?
3,What was the name of Randy Craft 's lawyer ?
0,What is object-oriented design ?
OTHERS,"What nuclear-powered Russian submarine sank in the Norwegian Sea on April 7 , 1989 ?"
OTHERS,What should the oven be set at for baking Peachy Oat Muffins ?
3,"Who lives at 24 Sussex Drive , Ottawa ?"
3,Who invented silly putty ?
OTHERS,In what year did Ireland elect its first woman president ?
0,How does lightning travel ?
0,What does Inuit and Eskimo mean ?
OTHERS,What 1966 boob tube bomb took astronauts back to prehistoric times ?
OTHERS,How many months does it take the moon to revolve around the Earth ?
5,What is the state nickname of Mississippi ?
5,What country was A Terrible Beauty to Leon Uris ?
2,What does NECROSIS mean ?
5,In what U.S. state was the first woman governor elected ?
0,What are the lyrics to `` Smelly Cat '' ?
3,What contemptible scoundrel stole the cork from my lunch ?
OTHERS,What does an ashen-faced eidologist search out the existence of ?
OTHERS,What letter appears on the cold-water tap in Spain ?
3,Who took over as conductor of the Boston Pops after Arthur Fiedler 's long reign ?
0,How do you clean up a cache ?
OTHERS,What percent liked Thatcher after she had been in power for a decade ?
5,What 's the oldest capital city in the Americas ?
3,Who made the deodorant that claimed that it `` actually builds up resistance to odor '' ?
OTHERS,What is the electronic device used to produce visual displays corresponding to electric signals ?
3,Name the Ranger who was always after Yogi Bear .
OTHERS,What 's the second-most-used vowel in English ?
OTHERS,When is President Nixon 's birthday ?
0,What are the limits to `` self-defense ? ''
OTHERS,How many claws has a lobster called a pistol lost ?
3,Who were the four famous founders of United Artists ?
0,How does it make its colors ?
OTHERS,Name a Salt Lake City newspaper .
OTHERS,What fraction of a beaver 's life is spent swimming ?
5,What country has the best defensive position in the board game Diplomacy ?
0,What is amezaiku ?
0,What do a diamond and lump of coal have in common ?
0,How do I start a bank ?
OTHERS,"What is the population of Arcadia , Florida ?"
0,What are Fortune 500 companies ?
OTHERS,How many inches over six feet is the Venus de Milo ?
5,What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?
0,"What exactly , specifically does sleep do for you ?"
OTHERS,What does caliente translate to in English ?
OTHERS,What 's the literary term for a play on words ?
OTHERS,"What is the approximate population of Las Vegas , N.M ?"
3,What comedian created a punch-drunk pugilist named Cauliflower McPugg ?
OTHERS,What does a chef coddle eggs in ?
OTHERS,What 1964 film introduced the song My Kind of Town ?
OTHERS,How many muscles does an oyster have ?
OTHERS,What would you add to the clay mixture to produce bone china ?
